Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
NASA,24/02/2009,09:55:00,Minotaur C (Taurus),Orbiting Carbon Observatory,Active,45,Failure,SLC-576E, Vandenberg AFB, California, USA
Lockheed,07/03/2009,03:49:00,Delta II 7925-10L,Kepler,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
VKS RF,15/03/2009,23:43:00,Space Shuttle Discovery,STS-119,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
VKS RF,24/03/2009,08:34:00,Delta II 7925,GPS IIRM-7,Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
Martin Marietta,04/04/2009,00:31:00,Atlas V 421,WGS-2,Active,123,Success,SLC-41, Cape Canaveral AFS, Florida, USA
ISRO,05/05/2009,20:24:00,Delta II 7920-10C,STSS-ATRR,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Northrop,11/05/2009,18:01:00,Space Shuttle Atlantis,STS-125,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
VKS RF,19/05/2009,23:55:00,Minotaur I,TacSat-3 / PharmaSat / AeroCube 3 / HawkSat I / CP6,Active,40,Success,LP-0B, Wallops Flight Facility, Virginia, USA
Arianespace,18/06/2009,17:32:00,Atlas V 421,LRO/LCROSS,Active,123,Success,SLC-41, Cape Canaveral AFS, Florida, USA
Lockheed,27/06/2009,22:51:00,"Delta IV Medium+ (4,2)",GOES-O,Retired,164,Success,SLC-37B, Cape Canaveral AFS, Florida, USA
Northrop,14/07/2009,03:35:00,Falcon 1,RazakSat,Retired,7,Success,Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA
CASC,15/07/2009,22:03:00,Space Shuttle Endeavour,STS-127,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
NASA,17/08/2009,10:35:00,Delta II 7925,GPS IIRM-8,Retired,,Success,SLC-17A, Cape Canaveral AFS, Florida, USA
Arianespace,28/08/2009,03:59:00,Space Shuttle Discovery,STS-128,Retired,450,Success,LC-39A, Kennedy Space Center, Florida, USA
VKS RF,08/09/2009,21:35:00,Atlas V 401,PAN,Active,109,Success,SLC-41, Cape Canaveral AFS, Florida, USA
CASC,25/09/2009,12:20:00,Delta II 7920-10C,STSS Demo,Retired,,Success,SLC-17B, Cape Canaveral AFS, Florida, USA
VKS RF,08/10/2009,18:51:00,Delta II 7920-10C,WorldView-2,Retired,,Success,SLC-2W, Vandenberg AFB, California, USA
Lockheed,18/10/2009,16:12:00,Atlas V 401,DMSP-5D3-F18,Active,109,Success,SLC-3E, Vandenberg AFB, California, USA
