Company,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Location,site,State,Country
RVSN USSR,12/09/2020,03:19:00,Rocket 3,Rocket 3.1,Active,2.5,Failure,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
RVSN USSR,15/12/2020,20:55:00,Rocket 3,Rocket 3.2,Active,2.5,Failure,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
US Navy,28/08/2021,22:35:00,Rocket 3,STP-27AD1,Active,2.5,Failure,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
AMBA,20/11/2021,06:16:00,Rocket 3,STP-27AD2,Active,2.5,Success,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
US Navy,15/03/2022,04:22:00,Rocket 3,Spaceflight Astra-1,Active,2.5,Success,LP-3B, Pacific Spaceport Complex kodiak, Alaska, USA
AMBA,29/11/1967,,Redstone Sparta,WRESAT,Retired,,Success,LA-5B, RAAF Woomera Range Complex,, Australia
US Navy,29/11/1968,09:47:00,Europa 1,STV-1,Retired,,Success,LA-5B, RAAF Woomera Range Complex,, Australia
AMBA,03/07/1969,08:06:00,Europa 1,STV-2,Retired,,Failure,LA-5B, RAAF Woomera Range Complex,, Australia
RVSN USSR,12/06/1970,06:06:00,Europa 1,STV-3,Retired,,Failure,LA-5B, RAAF Woomera Range Complex,, Australia
US Navy,02/11/1970,00:34:00,Black Arrow,Orba,Retired,,Failure,LA-5B, RAAF Woomera Range Complex,, Australia
RVSN USSR,28/10/1971,04:09:00,Black Arrow,Prospero,Retired,,Success,LA-5B, RAAF Woomera Range Complex,, Australia
US Navy,02/11/1997,,VLS-1,SCD-2A,Retired,,Failure,VLS Pad, Alc�ntara Launch Center, Maranh�o, Brazil
US Navy,11/12/1999,19:40:00,VLS-1,SACI-2,Retired,,Failure,VLS Pad, Alc�ntara Launch Center, Maranh�o, Brazil
US Navy,25/08/2003,,VLS-1,"SATEC, UNOSAT",Retired,,Prelaunch Failure,VLS Pad, Alc�ntara Launch Center, Maranh�o, Brazil
AMBA,16/11/1969,,Long March 1,Test flight,Retired,,Failure,Site 5020 (LA-2A), Jiuquan Satellite Launch Center,, China
US Navy,24/04/1970,13:35:00,Long March 1,Dong Fang Hong 1,Retired,,Success,Site 5020 (LA-2A), Jiuquan Satellite Launch Center,, China
US Air Force,03/03/1971,12:15:00,Long March 1,Shijian 1,Retired,,Success,Site 5020 (LA-2A), Jiuquan Satellite Launch Center,, China
US Navy,10/08/1972,00:32:00,Feng Bao 1,Shiyan Peizhong,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
AMBA,18/09/1973,12:12:00,Feng Bao 1,JSSW-1,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,12/07/1974,13:55:00,Feng Bao 1,JSSW-2,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,05/11/1974,09:40:00,Long March 2,FSW-0 No.0,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,26/07/1975,13:30:00,Feng Bao 1,JSSW-3,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
RVSN USSR,16/11/1975,03:29:00,Long March 2,FSW-0 No.1,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Navy,16/12/1975,09:21:00,Feng Bao 1,JSSW-4,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
NASA,30/08/1976,11:45:00,Feng Bao 1,JSSW-5,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
RVSN USSR,10/11/1976,09:05:00,Feng Bao 1,JSSW-6,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
AMBA,07/12/1976,04:38:00,Long March 2,FSW-0 No.2,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
NASA,14/09/1977,00:15:00,Feng Bao 1,DDDS 1,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
RVSN USSR,26/01/1978,04:58:00,Long March 2,FSW-0 No.3,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
AMBA,15/04/1978,16:39:00,Feng Bao 1,DDDS 2,Retired,,Success,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
US Air Force,27/07/1979,21:28:00,Feng Bao 1,Shijian 2A,Retired,,Failure,Site 138 (LA-2B), Jiuquan Satellite Launch Center,, China
RVSN USSR,06/09/1988,20:30:00,Long March 4A,Fengyun 1A,Retired,,Success,Taiyuan Satellite Launch Center,,, China
US Navy,26/11/1965,14:47:00,Diamant A,Ast�rix,Retired,,Success,Brigitte, Hammaguir,, Algeria
US Air Force,17/02/1966,07:33:00,Diamant A,Diapason,Retired,,Success,Brigitte, Hammaguir,, Algeria
US Air Force,08/02/1967,08:39:00,Diamant A,Diad�me 1,Retired,,Partial Failure,Brigitte, Hammaguir,, Algeria
US Navy,15/02/1967,10:06:00,Diamant A,Diad�me 2,Retired,,Success,Brigitte, Hammaguir,, Algeria
US Air Force,10/03/1970,15:20:00,Diamant B,WIKA & MIKA,Retired,,Success,ELD, Guiana Space Centre,, French Guiana
RVSN USSR,12/12/1970,12:00:00,Diamant B,P??ole,Retired,,Success,ELD, Guiana Space Centre,, French Guiana
US Navy,15/04/1971,09:09:00,Diamant B,Tournesol,Retired,,Success,ELD, Guiana Space Centre,, French Guiana
US Air Force,04/11/1971,21:10:00,Europa 2,Test flight,Retired,,Failure,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,05/12/1971,15:30:00,Diamant B,Polaire,Retired,,Failure,ELD, Guiana Space Centre,, French Guiana
US Air Force,22/05/1973,21:37:00,Diamant B,Castor & Pollux,Retired,,Failure,ELD, Guiana Space Centre,, French Guiana
US Air Force,06/02/1975,16:35:00,Diamant BP4,Starlette,Retired,,Success,ELD, Guiana Space Centre,, French Guiana
NASA,17/05/1975,14:47:00,Diamant BP4,Castor & Pollux,Retired,,Success,ELD, Guiana Space Centre,, French Guiana
RVSN USSR,27/09/1975,14:00:00,Diamant BP4,Aura,Retired,,Success,ELD, Guiana Space Centre,, French Guiana
US Air Force,24/12/1979,17:14:00,Ariane 1,CAT-1,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
US Navy,23/05/1980,14:29:00,Ariane 1,CAT-2 & Others,Retired,,Failure,ELV-1 (SLV), Guiana Space Centre,, French Guiana
RVSN USSR,19/06/1981,12:33:00,Ariane 1,CAT-3 & Others,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
US Air Force,20/12/1981,01:29:00,Ariane 1,MARCES-1 & CAT-4,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
US Air Force,09/09/1982,02:12:00,Ariane 1,MARCES-B & Sirio-2,Retired,,Failure,ELV-1 (SLV), Guiana Space Centre,, French Guiana
General Dynamics,16/06/1983,11:59:00,Ariane 1,ECS 1 & Oscar-10,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
US Air Force,19/10/1983,00:45:00,Ariane 1,Intelsat 507,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
US Air Force,05/03/1984,00:50:00,Ariane 1,Intelsat 508,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
General Dynamics,23/05/1984,01:33:00,Ariane 1,Spacenet F1,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
US Air Force,04/08/1984,13:32:00,Ariane 3,"Eutelsat-1 F2, Telecom 1A",Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,10/11/1984,01:14:00,Ariane 3,"Spacenet 2, MARECS-2",Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,08/02/1985,23:22:00,Ariane 3,"Arabsat-1A, Brasilsat-A1",Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
RVSN USSR,08/05/1985,01:15:00,Ariane 3,"GStar-1, Telecom 1B",Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,02/07/1985,11:23:00,Ariane 1,Giotto,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
RVSN USSR,12/09/1985,23:26:00,Ariane 3,"ECS 3, Spacenet 3",Retired,,Failure,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,22/02/1986,01:44:00,Ariane 1,SPOT-1 & Viking,Retired,,Success,ELV-1 (SLV), Guiana Space Centre,, French Guiana
RVSN USSR,28/03/1986,23:30:00,Ariane 3,"GStar-2, Brasilsat-A2",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,31/05/1986,00:53:00,Ariane 2,Intelsat-5A 14,Retired,,Failure,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,16/09/1987,00:45:00,Ariane 3,"Aussat-A3, Eutelsat 1-F4",Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,21/11/1987,02:19:00,Ariane 2,TVSAT-1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,11/03/1988,23:28:00,Ariane 3,"Spacenet 3R, Telecom 1C",Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
NASA,17/05/1988,23:58:00,Ariane 2,Intelsat 3AF13,Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,15/06/1988,11:19:00,Ariane 44LP,"Meteosat 3, Panamsat-1, Oscar 13",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,21/07/1988,23:12:00,Ariane 3,"Insat 1C, Eutelsat-1 F5",Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
US Air Force,08/09/1988,23:00:00,Ariane 3,"GStar 5, SBS 5",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,28/10/1988,02:17:00,Ariane 2,TDF-1,Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
RVSN USSR,11/12/1988,00:33:00,Ariane 44LP,"Skynet 4B, Astra 1A",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,27/01/1989,01:21:00,Ariane 2,Intelsat-5A 15,Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
General Dynamics,06/03/1989,23:29:00,Ariane 44LP,JCSAT-1 & Meteosat 4,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,02/04/1989,02:28:00,Ariane 2,TELE-X,Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
RVSN USSR,05/06/1989,22:37:00,Ariane 44L,"Superbird-A, DFS-1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,12/07/1989,00:14:00,Ariane 3,Olympus-1,Retired,,Success,ELA-1, Guiana Space Centre,, French Guiana
RVSN USSR,08/08/1989,23:25:00,Ariane 44LP,"TVSAT-2, Hipparcos",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,27/10/1989,23:05:00,Ariane 44L,Intelsat 6AF2,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,22/01/1990,01:35:00,Ariane 40,"SPOT-2, Oscar 14-19",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,22/02/1990,23:17:00,Ariane 44L,"Superbird-B, BS-2X",Retired,,Failure,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,24/07/1990,22:25:00,Ariane 44L,"TDF-2, DFS-2",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,30/08/1990,22:46:00,Ariane 44L,"Skynet 4C, Eutelsat 2F1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,12/10/1990,22:58:00,Ariane 44L,"SBS-6, Galaxy-6",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,20/11/1990,23:11:00,Ariane 42P,"Satcom C1, GStar-4",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,15/01/1991,23:10:00,Ariane 44L,"Italsat-1, Eutelsat 2F2",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,02/03/1991,23:36:00,Ariane 44LP,"Astra 1B, Meteosat 5",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,04/04/1991,23:33:00,Ariane 44P,Anik E2,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,17/07/1991,01:46:00,Ariane 40,"ERS-1, Oscar 22, Orbcomm-X, Tubsat-A, SARA",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,14/08/1991,23:15:00,Ariane 44L,Intelsat 605,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,26/09/1991,23:43:00,Ariane 44P,Anik E1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,29/10/1991,23:08:00,Ariane 44L,Intelsat 6AF1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,16/12/1991,22:19:00,Ariane 44L,"Telecom 2A, Inmarsat 2F3",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,26/02/1992,23:58:00,Ariane 44L,"Superbird-B1, Arabsat-1C",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,15/04/1992,23:25:00,Ariane 44L,"Telecom 2B, Inmarsat-2F4",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,09/07/1992,22:42:00,Ariane 44L,"Insat-2A, Eutelsat 2F4",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,10/08/1992,23:04:00,Ariane 42P,"TOPEX/Poseidon, Oscar 23, S80/T",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,10/09/1992,23:04:00,Ariane 44LP,"Hispasat 1A, Satcom C3",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,28/10/1992,00:15:00,Ariane 42P,Galaxy-7,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,01/12/1992,22:48:00,Ariane 42P,Superbird A1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,12/05/1993,00:56:00,Ariane 42L,"Astra 1C, Arsene",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,25/06/1993,00:18:00,Ariane 44P,Galaxy-4,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,22/07/1993,22:58:00,Ariane 44L,"Hispasat 1B, Insat-2B",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,26/09/1993,01:45:00,Ariane 40,"SPOT-3, Stella & Others",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,22/10/1993,06:46:00,Ariane 44LP,Intelsat 701,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,20/11/1993,01:17:00,Ariane 44LP,"Solidaridad 1, Meteosat 6",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,18/12/1993,01:27:00,Ariane 44L,"DBS-1, Thaicom-1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,24/01/1994,21:37:00,Ariane 44LP,"Eutelsat 2F5, Turksat 1A",Retired,,Failure,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,17/06/1994,07:07:00,Ariane 44LP,"Intelsat 702, STRV 1A & 1B",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,08/07/1994,23:05:00,Ariane 44L,"Panamsat-2, Yuri-3N",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,10/08/1994,23:05:00,Ariane 44LP,"Brasilsat B1, Turksat 1B",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,09/09/1994,00:29:00,Ariane 42L,Telstar 402,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,08/10/1994,01:07:00,Ariane 44L,"Solidaridad-2, Thaicom-2",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,01/11/1994,00:37:00,Ariane 42P,Astra 1D,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,01/12/1994,22:57:00,Ariane 42P,Panamsat-3,Retired,,Failure,ELA-2, Guiana Space Centre,, French Guiana
NASA,28/03/1995,11:19:00,Ariane 44LP,"Brasilsat B2, Hot Bird 1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,21/04/1995,01:44:00,Ariane 40,ERS-2,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,17/05/1995,06:34:00,Ariane 44LP,Intelsat 706,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,10/06/1995,00:24:00,Ariane 42P,DBS-3,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,07/07/1995,16:23:00,Ariane 40,"Helios 1A, Cerise, LBSAT-1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,03/08/1995,22:58:00,Ariane 42L,Panamsat-4,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,29/08/1995,06:41:00,Ariane 42P,N-Star A,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,24/09/1995,00:06:00,Ariane 42L,Telstar 402R,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,19/10/1995,00:28:00,Ariane 42L,Astra 1E,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,17/11/1995,01:20:00,Ariane 44P,Infrared Space Observatory,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,06/12/1995,23:23:00,Ariane 44L,"Telecom 2C, Insat 2C",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,12/01/1996,23:10:00,Ariane 44L,"Panamsat-3R, Measat-1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,05/02/1996,07:19:00,Ariane 44P,N-Star B,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,14/03/1996,07:11:00,Ariane 44LP,Intelsat 707,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,20/04/1996,22:36:00,Ariane 42P,M-SAT-1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,16/05/1996,01:56:00,Ariane 44L,"Palapa C2, AMOS-1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,04/06/1996,12:34:00,Ariane 5 G,Cluster,Retired,,Failure,ELA-3, Guiana Space Centre,, French Guiana
US Air Force,15/06/1996,06:55:00,Ariane 44P,Intelsat 709,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,09/07/1996,22:24:00,Ariane 44L,"Arabsat-2A, T??rksat 1C",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,08/08/1996,22:49:00,Ariane 44L,"Italsat F2, Telecom 2D",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,11/09/1996,00:00:00,Ariane 42P,Echostar-2,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,13/11/1996,22:40:00,Ariane 44L,"Arabsat-2B, Measat-2",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,30/01/1997,22:04:00,Ariane 44L,"GE-2, Nahuel 1A",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,01/03/1997,01:07:00,Ariane 44P,Intelsat 801,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,16/04/1997,23:08:00,Ariane 44LP,"Thaicom 3, BSAT 1a",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,03/06/1997,23:20:00,Ariane 44L,"Inmarsat 3 F4, Insat 2D",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,25/06/1997,23:44:00,Ariane 44P,Intelsat 802,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,08/08/1997,06:46:00,Ariane 44P,Panamsat-6,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,02/09/1997,22:21:00,Ariane 44LP,"Hot Bird 3, Meteosat 7",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,23/09/1997,23:58:00,Ariane 44LP,Intelsat 803,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,30/10/1997,13:43:00,Ariane 5 G,"MaqSat-H, TEAMSAT, MaqSat-B, YES",Retired,,Partial Failure,ELA-3, Guiana Space Centre,, French Guiana
NASA,02/12/1997,22:52:00,Ariane 44P,"JCSAT-5, Equator S",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,12/12/1997,21:48:00,Ariane 44L,"Sirius-2, Cakrawarta-1",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,22/12/1997,00:16:00,Ariane 42L,Intelsat 804,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,04/02/1998,23:29:00,Ariane 44LP,"Brasilsat B3, Inmarsat-3 F5",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,27/02/1998,22:38:00,Ariane 42P,Hot Bird 4,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,24/03/1998,01:46:00,Ariane 40,SPOT-4,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,28/04/1998,22:53:00,Ariane 44P,"Nilesat-101, BSAT-1B",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,25/08/1998,23:07:00,Ariane 44P,ST-1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,16/09/1998,06:31:00,Ariane 44LP,Panamsat-7,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,05/10/1998,22:51:00,Ariane 44L,"Eutelsat W2, Sirius-3",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,21/10/1998,16:37:00,Ariane 5 G,MaqSat 3 & ARD,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
RVSN USSR,28/10/1998,22:15:00,Ariane 44L,"Afristar, GE-5",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,06/12/1998,00:43:00,Ariane 42L,Satmex 5,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,22/12/1998,01:08:00,Ariane 42L,Panamsat-6B,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,26/02/1999,22:44:00,Ariane 44L,"Arabsat-3A, Skynet 4E",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,02/04/1999,22:03:00,Ariane 42P,Insat-2E,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,12/08/1999,22:52:00,Ariane 42P,Telkom-1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,04/09/1999,22:34:00,Ariane 42P,Koreasat-3,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,25/09/1999,06:29:00,Ariane 44LP,Telstar 7,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
NASA,19/10/1999,06:22:00,Ariane 44LP,Orion 2,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,13/11/1999,22:54:00,Ariane 44LP,GE-4,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,03/12/1999,16:22:00,Ariane 40,Helios 1B & Cl??mentine,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,10/12/1999,14:32:00,Ariane 5 G,XMM-Newton,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
RVSN USSR,22/12/1999,00:50:00,Ariane 44L,Galaxy-11,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,25/01/2000,01:04:00,Ariane 42L,Galaxy 10R,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,18/02/2000,01:04:00,Ariane 44LP,Superbird 4,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,21/03/2000,23:28:00,Ariane 5 G,INSAT-3B & AsiaStar,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
US Air Force,19/04/2000,00:29:00,Ariane 42L,Galaxy 4R,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
US Air Force,17/08/2000,23:16:00,Ariane 44LP,"Brasilsat B4, Nilesat 102",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,06/09/2000,22:33:00,Ariane 44P,Eutelsat W1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,14/09/2000,22:54:00,Ariane 5 G,Astra 2B & GE-7,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
US Air Force,06/10/2000,23:00:00,Ariane 42L,N-SAT 110,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,29/10/2000,05:59:00,Ariane 44LP,EuropeStar F1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,16/11/2000,01:07:00,Ariane 5 G,"PanAmSat-1R, Amsat-P3D, STRV 1C, STRV 1D",Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
General Dynamics,21/11/2000,23:56:00,Ariane 44L,Anik F1,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,20/12/2000,00:26:00,Ariane 5 G,"Astra 2D, GE-8, LDREX",Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
RVSN USSR,10/01/2001,22:09:00,Ariane 44P,Turksat 2A,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,07/02/2001,23:05:00,Ariane 44L,"Sicral-1, Skynet 4F",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,08/03/2001,22:51:00,Ariane 5 G,Eurobird-1 & BSat-2a,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
RVSN USSR,09/06/2001,06:45:00,Ariane 44L,Intelsat 901,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,12/07/2001,21:58:00,Ariane 5 G,Artemis & BSAT-2b,Retired,,Partial Failure,ELA-3, Guiana Space Centre,, French Guiana
RVSN USSR,30/08/2001,06:46:00,Ariane 44L,Intelsat 902,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,25/09/2001,23:21:00,Ariane 44P,Atlantic Bird 2,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,27/11/2001,05:59:00,Ariane 44LP,DirecTV-4S,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
General Dynamics,23/01/2002,23:46:00,Ariane 42L,Insat 3C,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,23/02/2002,06:59:00,Ariane 44L,Intelsat 904,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,01/03/2002,01:07:00,Ariane 5 G,Envisat,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
US Air Force,29/03/2002,01:29:00,Ariane 44L,"Astra 3A, JCSAT-8",Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
RVSN USSR,16/04/2002,23:02:00,Ariane 44L,NSS-7,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,05/06/2002,06:44:00,Ariane 44L,Intelsat 905,Retired,,Success,ELA-2, Guiana Space Centre,, French Guiana
US Air Force,02/07/2002,23:22:00,Ariane 5 G,Stellat-5 & NStar-C,Retired,,Success,ELA-3, Guiana Space Centre,, French Guiana
