,name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
238,rugops,carnivorous,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,primus,Late Cretaceous,95,95,7.0
239,saichania,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,chulsanensis,Late Cretaceous,80,80,6.6
240,saltasaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,loricatus,Late Cretaceous,70,65,12.0
241,saltopus,carnivorous,United Kingdom,small theropod,Dinosauria,elginensis,Late Triassic,221,210,9999.0
242,sarcosaurus,carnivorous,United Kingdom,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,woodi,Early Jurassic,202,195,3.0
243,saurolophus,herbivorous,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,osborni,Late Cretaceous,74,70,9.0
244,sauropelta,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,edwardsorum,Early Cretaceous,121,94,6.5
245,saurophaganax,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,maximus,Late Jurassic,154,142,12.0
246,saurornithoides,carnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,mongoliensis,Late Cretaceous,85,80,3.0
247,scelidosaurus,herbivorous,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,harrisonii,Early Jurassic,208,194,4.0
248,scutellosaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora,lawleri,Early Jurassic,205,202,1.2
249,secernosaurus,herbivorous,Argentina,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,koerneri,Late Cretaceous,71,65,3.0
250,segisaurus,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,halli,Mid Jurassic,195,180,1.5
251,segnosaurus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,galbinensis,Late Cretaceous,97,88,4.0
252,shamosaurus,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,scutatus,Early Cretaceous,121,99,9999.0
253,shanag,carnivorous,Mongolia,small theropod,Dinosauria Saurischia,ashile,Early Cretaceous,126,142,0.45
254,shantungosaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,giganteus,Late Cretaceous,78,74,15.0
255,shunosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,lii,Mid Jurassic,170,160,10.0
256,shuvuuia,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,deserti,Late Cretaceous,75,81,0.6
257,silvisaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,condrayi,Early Cretaceous,121,112,4.0
258,sinocalliopteryx,carnivorous,China,small theropod,Dinosauria Saurischia,gigas,Early Cretaceous,125,125,2.37
259,sinornithosaurus,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,millenii,Early Cretaceous,122,120,2.0
260,sinosauropteryx,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,prima,Early Cretaceous,122,120,1.0
261,sinovenator,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,changii,Early Cretaceous,127,121,1.0
262,sinraptor,carnivorous,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,hepingensis,Mid Jurassic,169,142,7.6
263,sonidosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,saihangaobiensis,Late Cretaceous,89,65,9.0
264,spinosaurus,carnivorous,Morocco,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,aegyptiacus,Late Cretaceous,95,70,18.0
265,staurikosaurus,carnivorous,Brazil,large theropod,Dinosauria Saurischia Theropoda Herrerasauridae,pricei,Late Triassic,227,221,2.0
266,stegoceras,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,validum,Late Cretaceous,76,74,2.4
267,stegosaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,armatus,Late Jurassic,155,145,9.0
268,stenopelix,herbivorous,Germany,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria,valdensis,Early Cretaceous,127,121,1.5
269,struthiomimus,omnivorous,Canada,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,altus,Late Cretaceous,76,74,4.0
270,struthiosaurus,herbivorous,Spain,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,austriacus,Late Cretaceous,83,75,2.5
271,styracosaurus,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,albertensis,Late Cretaceous,76,70,5.5
272,suchomimus,carnivorous,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,tenerensis,Early Cretaceous,121,112,11.0
273,supersaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,vivianae,Early Cretaceous,154,142,35.0
274,talarurus,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,plicatospineus,Late Cretaceous,99,89,6.0
275,tanius,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,sinensis,Late Cretaceous,89,65,9999.0
276,tarbosaurus,carnivorous,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,bataar,Late Cretaceous,74,70,10.0
277,tarchia,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,gigantea,Late Cretaceous,75,68,8.5
278,telmatosaurus,herbivorous,Spain,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,transsylvanicus,Late Cretaceous,84,65,5.0
279,tenontosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,tillettorum,Early Cretaceous,120,110,7.0
280,thecodontosaurus,omnivorous,United Kingdom,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda,antiquus,Late Triassic,227,205,2.5
281,therizinosaurus,unknown,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,cheloniformis,Late Cretaceous,85,70,9999.0
282,thescelosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,neglectus,Late Cretaceous,76,67,3.5
283,torosaurus,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,latus,Late Cretaceous,70,65,7.5
284,torvosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,tanneri,Late Jurassic,155,144,10.0
285,triceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,horridus,Late Cretaceous,68,66,9.0
286,troodon,carnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,formosus,Late Cretaceous,74,65,2.0
287,tsagantegia,herbivorous,Mongolia,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,longicranialis,Late Cretaceous,99,84,9999.0
288,tsintaosaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,spinorhinus,Late Cretaceous,84,71,12.0
289,tuojiangosaurus,herbivorous,China,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,multispinus,Late Jurassic,157,154,7.0
290,tylocephale,herbivorous,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,gilmorei,Late Cretaceous,75,72,1.4
291,tyrannosaurus,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,rex,Late Cretaceous,68,66,12.0
292,udanoceratops,herbivorous,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,tschizhovi,Late Cretaceous,81,75,9999.0
293,unenlagia,carnivorous,Argentina,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,comahuensis,Late Cretaceous,94,86,2.4
294,urbacodon,carnivorous,Uzbekistan,small theropod,Dinosauria Saurischia,itemirensis,Late Cretaceous,95,95,1.0
295,utahraptor,carnivorous,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,ostrommaysorum,Early Cretaceous,112,100,6.0
296,valdosaurus,herbivorous,United Kingdom,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,canaliculatus,Early Cretaceous,142,121,3.0
297,velociraptor,carnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,mongoliensis,Late Cretaceous,74,70,1.8
298,vulcanodon,herbivorous,Zimbabwe,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,karibaensis,Early Jurassic,205,202,6.5
299,yandusaurus,herbivorous,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,hongheensis,Mid Jurassic,169,159,3.0
300,yangchuanosaurus,carnivorous,China,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,shangyouensis,Late Jurassic,160,144,10.0
301,yimenosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda,youngi,Early Jurassic,195,190,9.0
302,yingshanosaurus,herbivorous,China,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,jichuanensis,Late Jurassic,159,142,9999.0
303,yinlong,herbivorous,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,downsi,Mid Jurassic,159,154,1.2
304,yuanmousaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,jiangyiensis,Mid Jurassic,180,159,17.0
305,yunnanosaurus,omnivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,huangi,Early Jurassic,205,190,7.0
306,zalmoxes,herbivorous,Romania,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,robustus,Late Cretaceous,69,69,3.0
307,zephyrosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,schaffi,Early Cretaceous,120,110,1.8
308,zuniceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,christopheri,Late Cretaceous,94,89,9999.0
