,name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
148,khaan,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,mckennai,Late Cretaceous,81,75,1.8
149,kotasaurus,herbivorous,India,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda,yamanpalliensis,Early Jurassic,205,180,9.0
150,kritosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,navajovius,Late Cretaceous,78,74,8.0
151,lambeosaurus,herbivorous,Canada,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,lambei,Late Cretaceous,76,74,9.0
152,lapparentosaurus,herbivorous,Madagascar,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,madagascariensis,Mid Jurassic,169,164,9999.0
153,leaellynasaura,herbivorous,Australia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,amicagraphica,Early Cretaceous,115,110,2.0
154,leptoceratops,herbivorous,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,gracilis,Late Cretaceous,67,65,3.0
155,lesothosaurus,herbivorous,Lesotho,9999,Dinosauria Ornithischia,diagnosticus,Early Jurassic,213,200,1.0
156,liaoceratops,herbivorous,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,yanzigouensis,Early Cretaceous,127,121,9999.0
157,ligabuesaurus,herbivorous,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,leanzai,Early Cretaceous,121,99,24.0
158,liliensternus,carnivorous,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda,liliensterni,Late Triassic,205,202,5.0
159,lophorhothon,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,atopus,Late Cretaceous,84,71,4.5
