,name,diet,lived_in,type,period_name
114,giganotosaurus,carnivorous,Argentina,large theropod,Early Cretaceous
115,gilmoreosaurus,herbivorous,China,euornithopod,Late Cretaceous
116,giraffatitan,herbivorous,Tanzania,sauropod,Late Jurassic
117,gobisaurus,herbivorous,China,armoured dinosaur,Early Cretaceous
118,gorgosaurus,carnivorous,USA,large theropod,Late Cretaceous
119,goyocephale,herbivorous,Mongolia,large theropod,Late Cretaceous
120,graciliceratops,herbivorous,Mongolia,ceratopsian,Late Cretaceous
121,gryposaurus,herbivorous,USA,euornithopod,Late Cretaceous
122,guaibasaurus,herbivorous,Brazil,small theropod,Late Triassic
123,guanlong,carnivorous,China,small theropod,Late Jurassic
124,hadrosaurus,herbivorous,USA,euornithopod,Late Cretaceous
125,hagryphus,omnivorous,USA,small theropod,unknown
126,haplocanthosaurus,herbivorous,USA,sauropod,Late Jurassic
127,harpymimus,omnivorous,Mongolia,small theropod,Early Cretaceous
128,herrerasaurus,carnivorous,Argentina,small theropod,Late Triassic
129,hesperosaurus,herbivorous,USA,armoured dinosaur,Late Jurassic
130,heterodontosaurus,herbivorous,South Africa,euornithopod,Early Jurassic
131,heyuannia,omnivorous,Mongolia,small theropod,Late Cretaceous
132,homalocephale,herbivorous,Mongolia,euornithopod,Late Cretaceous
133,huayangosaurus,herbivorous,China,armoured dinosaur,Mid Jurassic
134,hylaeosaurus,herbivorous,United Kingdom,armoured dinosaur,Early Cretaceous
135,hypacrosaurus,herbivorous,USA,euornithopod,Late Cretaceous
136,hypsilophodon,herbivorous,United Kingdom,euornithopod,Early Cretaceous
137,iguanodon,herbivorous,United Kingdom,euornithopod,Early Cretaceous
138,indosuchus,carnivorous,India,large theropod,Late Cretaceous
139,irritator,carnivorous,Brazil,large theropod,Early Cretaceous
140,isisaurus,herbivorous,India,sauropod,Late Cretaceous
141,janenschia,herbivorous,Tanzania,sauropod,Late Jurassic
142,jaxartosaurus,herbivorous,Kazakhstan,euornithopod,Late Cretaceous
143,jingshanosaurus,herbivorous,China,sauropod,Early Jurassic
144,jinzhousaurus,herbivorous,China,euornithopod,Early Cretaceous
145,jobaria,herbivorous,Niger,sauropod,Early Cretaceous
146,juravenator,carnivorous,Germany,small theropod,Late Jurassic
147,kentrosaurus,herbivorous,Tanzania,armoured dinosaur,Late Jurassic
148,khaan,omnivorous,Mongolia,small theropod,Late Cretaceous
149,kotasaurus,herbivorous,India,sauropod,Early Jurassic
150,kritosaurus,herbivorous,USA,euornithopod,Late Cretaceous
151,lambeosaurus,herbivorous,Canada,euornithopod,Late Cretaceous
152,lapparentosaurus,herbivorous,Madagascar,sauropod,Mid Jurassic
153,leaellynasaura,herbivorous,Australia,euornithopod,Early Cretaceous
154,leptoceratops,herbivorous,USA,ceratopsian,Late Cretaceous
155,lesothosaurus,herbivorous,Lesotho,unknown,Early Jurassic
156,liaoceratops,herbivorous,China,ceratopsian,Early Cretaceous
157,ligabuesaurus,herbivorous,Argentina,sauropod,Early Cretaceous
158,liliensternus,carnivorous,Germany,small theropod,Late Triassic
159,lophorhothon,herbivorous,USA,euornithopod,Late Cretaceous
160,lophostropheus,carnivorous,France,large theropod,Early Jurassic
161,lufengosaurus,herbivorous,China,sauropod,Early Jurassic
162,lurdusaurus,herbivorous,Niger,euornithopod,Early Cretaceous
163,lycorhinus,herbivorous,South Africa,euornithopod,Late Triassic
164,magyarosaurus,herbivorous,Romania,sauropod,Late Cretaceous
165,maiasaura,herbivorous,USA,euornithopod,Late Cretaceous
166,majungasaurus,carnivorous,Madagascar,large theropod,Late Cretaceous
167,malawisaurus,herbivorous,Malawi,sauropod,Early Cretaceous
168,mamenchisaurus,herbivorous,China,sauropod,Late Jurassic
169,mapusaurus,carnivorous,Argentina,large theropod,Late Cretaceous
170,marshosaurus,carnivorous,USA,large theropod,Late Jurassic
171,masiakasaurus,carnivorous,Madagascar,small theropod,Late Cretaceous
172,massospondylus,omnivorous,Zimbabwe,sauropod,Early Jurassic
173,maxakalisaurus,herbivorous,Brazil,sauropod,Late Cretaceous
174,megalosaurus,carnivorous,United Kingdom,large theropod,Mid Jurassic
175,melanorosaurus,omnivorous,South Africa,sauropod,Late Triassic
176,metriacanthosaurus,carnivorous,United Kingdom,large theropod,Late Jurassic
177,microceratus,herbivorous,Mongolia,ceratopsian,Late Cretaceous
178,micropachycephalosaurus,herbivorous,China,ceratopsian,Late Cretaceous
179,microraptor,carnivorous,China,small theropod,Early Cretaceous
180,minmi,herbivorous,Australia,armoured dinosaur,Early Cretaceous
181,monolophosaurus,carnivorous,China,large theropod,Mid Jurassic
182,mononykus,unknown,Mongolia,small theropod,Late Cretaceous
183,mussaurus,herbivorous,Argentina,sauropod,Late Triassic
184,muttaburrasaurus,herbivorous,Australia,euornithopod,Early Cretaceous
185,nanshiungosaurus,omnivorous,China,large theropod,Late Cretaceous
186,nedoceratops,herbivorous,USA,ceratopsian,Late Cretaceous
187,nemegtosaurus,herbivorous,Mongolia,sauropod,Late Cretaceous
188,neovenator,carnivorous,United Kingdom,large theropod,Early Cretaceous
189,neuquenosaurus,herbivorous,Argentina,sauropod,Late Cretaceous
190,nigersaurus,herbivorous,Tunisia,sauropod,Early Cretaceous
191,nipponosaurus,herbivorous,Russia,euornithopod,Late Cretaceous
192,noasaurus,carnivorous,Argentina,small theropod,Late Cretaceous
193,nodosaurus,herbivorous,USA,armoured dinosaur,Early Cretaceous
194,nomingia,omnivorous,Mongolia,small theropod,Late Cretaceous
195,nothronychus,omnivorous,USA,large theropod,Late Cretaceous
196,nqwebasaurus,carnivorous,South Africa,small theropod,Mid Jurassic
197,omeisaurus,herbivorous,China,sauropod,Mid Jurassic
198,opisthocoelicaudia,herbivorous,Mongolia,sauropod,Late Cretaceous
199,ornitholestes,carnivorous,USA,small theropod,Late Jurassic
200,ornithomimus,omnivorous,USA,large theropod,Late Cretaceous
201,orodromeus,herbivorous,USA,euornithopod,Late Cretaceous
202,oryctodromeus,herbivorous,USA,euornithopod,Late Cretaceous
203,othnielia,herbivorous,USA,euornithopod,Late Jurassic
204,ouranosaurus,herbivorous,Niger,euornithopod,Early Cretaceous
205,oviraptor,omnivorous,Mongolia,small theropod,Late Cretaceous
206,pachycephalosaurus,herbivorous,USA,euornithopod,Late Cretaceous
207,pachyrhinosaurus,herbivorous,Canada,ceratopsian,Late Cretaceous
208,panoplosaurus,herbivorous,USA,armoured dinosaur,Late Cretaceous
209,pantydraco,herbivorous,Wales,euornithopod,Early Jurassic
210,paralititan,herbivorous,Egypt,sauropod,Late Cretaceous
211,parasaurolophus,herbivorous,USA,euornithopod,Late Cretaceous
212,parksosaurus,herbivorous,Canada,euornithopod,Late Cretaceous
213,patagosaurus,herbivorous,Argentina,sauropod,Mid Jurassic
214,pelicanimimus,carnivorous,Spain,small theropod,Early Cretaceous
215,pelorosaurus,herbivorous,United Kingdom,sauropod,Early Cretaceous
216,pentaceratops,herbivorous,USA,ceratopsian,Late Cretaceous
217,piatnitzkysaurus,carnivorous,Argentina,large theropod,Late Jurassic
218,pinacosaurus,herbivorous,Mongolia,armoured dinosaur,Late Cretaceous
219,plateosaurus,herbivorous,Switzerland,sauropod,Late Triassic
220,podokesaurus,carnivorous,USA,small theropod,Mid Jurassic
221,poekilopleuron,carnivorous,France,large theropod,Mid Jurassic
222,polacanthus,herbivorous,United Kingdom,armoured dinosaur,Early Cretaceous
223,prenocephale,herbivorous,Mongolia,euornithopod,Late Cretaceous
224,probactrosaurus,herbivorous,China,euornithopod,Early Cretaceous
225,proceratosaurus,carnivorous,United Kingdom,small theropod,Mid Jurassic
226,procompsognathus,carnivorous,Germany,small theropod,Late Triassic
227,prosaurolophus,herbivorous,USA,euornithopod,Late Cretaceous
228,protarchaeopteryx,carnivorous,China,small theropod,Early Cretaceous
229,protoceratops,herbivorous,Mongolia,ceratopsian,Late Cretaceous
230,protohadros,herbivorous,USA,euornithopod,Late Cretaceous
231,psittacosaurus,herbivorous,Russia,ceratopsian,Early Cretaceous
232,quaesitosaurus,herbivorous,Mongolia,sauropod,Late Cretaceous
233,rebbachisaurus,herbivorous,Morocco,sauropod,Early Cretaceous
234,rhabdodon,herbivorous,Spain,euornithopod,Late Cretaceous
235,rhoetosaurus,herbivorous,Australia,sauropod,Mid Jurassic
236,rinchenia,omnivorous,Mongolia,small theropod,Late Cretaceous
237,riojasaurus,herbivorous/omnivorous,Argentina,sauropod,Late Triassic
238,rugops,carnivorous,Niger,large theropod,Late Cretaceous
239,saichania,herbivorous,Mongolia,armoured dinosaur,Late Cretaceous
240,saltasaurus,herbivorous,Argentina,sauropod,Late Cretaceous
241,saltopus,carnivorous,United Kingdom,small theropod,Late Triassic
242,sarcosaurus,carnivorous,United Kingdom,small theropod,Early Jurassic
243,saurolophus,herbivorous,Mongolia,euornithopod,Late Cretaceous
244,sauropelta,herbivorous,USA,armoured dinosaur,Early Cretaceous
245,saurophaganax,carnivorous,USA,large theropod,Late Jurassic
246,saurornithoides,carnivorous,Mongolia,small theropod,Late Cretaceous
247,scelidosaurus,herbivorous,United Kingdom,armoured dinosaur,Early Jurassic
248,scutellosaurus,herbivorous,USA,armoured dinosaur,Early Jurassic
249,secernosaurus,herbivorous,Argentina,euornithopod,Late Cretaceous
250,segisaurus,carnivorous,USA,small theropod,Mid Jurassic
