Location,Cap. (MW),No.,Model,Projectcommissioning,Strike Price,Buildcost,Cap.fac.,Depthrange (m),km toshore,Coordinates1,Coordinates2,coordinates1Northing,coordinates1Westing,lat,long
53°07′39″N 0°26′10″E﻿ / ﻿53.12750°N 0.43611°E,194,54,Siemens SWP-3.6–107,Mar-09,,£300m,34.90%,6–11,5.0,53°07′39″N 0°26′10″E﻿ , ﻿53.12750°N 0.43611°E,53°07′39″,0°26′10″E﻿ ,53.1275,0.4361111111111111
56°09′46″N 03°00′32″W﻿ / ﻿56.16278°N 3.00889°W,7,1,Samsung 7 MW,Oct-13,,,,5,0.05,56°09′46″N 03°00′32″W﻿ , ﻿56.16278°N 3.00889°W,56°09′46″,03°00′32″W﻿ ,56.16277777777778,-3.008888888888889
58°06′N 2°48′W﻿ / ﻿58.1°N 2.8°W,950,100,Vestas v164-9.5 MW,April 2022 [28],57.5,,,25-30,120.0,58°06′N 2°48′W﻿ , ﻿58.1°N 2.8°W,58°06′,2°48′W﻿ ,58.1,-2.8
53°26′00″N 3°24′00″W﻿ / ﻿53.43333°N 3.40000°W,60,30,Vestas V80-2MW,Dec-03,,£80m,31.50%,5–12,7.0,53°26′00″N 3°24′00″W﻿ , ﻿53.43333°N 3.40000°W,53°26′00″,3°24′00″W﻿ ,53.43333333333333,-3.4
54°06′00″N 3°24′00″W﻿ / ﻿54.10000°N 3.40000°W,150,30,REpower 5MW,Aug-12,,£552m,39.5%[4],17–22,9.5,54°06′00″N 3°24′00″W﻿ , ﻿54.10000°N 3.40000°W,54°06′00″,3°24′00″W﻿ ,54.1,-3.4
53°16′30″N 0°50′30″E﻿ / ﻿53.27500°N 0.84167°E,580,91,Siemens SWT-6.0–154,Feb-18,,,,,,53°16′30″N 0°50′30″E﻿ , ﻿53.27500°N 0.84167°E,53°16′30″,0°50′30″E﻿ ,53.275,0.8416666666666667
50°40′00″N 0°16′00″W﻿ / ﻿50.66667°N 0.26667°W,400,116,Vestas V112-3.45MW,Apr-18,,"£1,300m",,,13.0,50°40′00″N 0°16′00″W﻿ , ﻿50.66667°N 0.26667°W,50°40′00″,0°16′00″W﻿ ,50.666666666666664,-0.26666666666666666
53°22′00″N 3°39′00″W﻿ / ﻿53.36667°N 3.65000°W,90,25,Siemens SWP 3.6–107,Dec-09,,£198m,32.9%[4],4–15,8.0,53°22′00″N 3°39′00″W﻿ , ﻿53.36667°N 3.65000°W,53°22′00″,3°39′00″W﻿ ,53.36666666666667,-3.65
54°45′00″N 3°43′00″W﻿ / ﻿54.75000°N 3.71667°W,180,60,Vestas V90-3.0MW,Apr-10,,£396m,35.1%[4],0–12,11.0,54°45′00″N 3°43′00″W﻿ , ﻿54.75000°N 3.71667°W,54°45′00″,3°43′00″W﻿ ,54.75,-3.716666666666667
52°38′0″N 1°47′0″E﻿ / ﻿52.63333°N 1.78333°E,60,30,Vestas V80-2MW,Mar-04,,£75.5m,30.7%[4],0–8,2.5,52°38′0″N 1°47′0″E﻿ , ﻿52.63333°N 1.78333°E,52°38′0″,1°47′0″E﻿ ,52.63333333333333,1.7833333333333332
53°07′0″N 1°08′0″E﻿ / ﻿53.11667°N 1.13333°E,317,88,Siemens SWT-3.6–107,Sep-12,,"£1,100m",40.7%[4],12–24,17.0,53°07′0″N 1°08′0″E﻿ , ﻿53.11667°N 1.13333°E,53°07′0″,1°08′0″E﻿ ,53.11666666666667,1.1333333333333333
54°38′50″N 1°05′40″W﻿ / ﻿54.64722°N 1.09444°W,62,27,Siemens SWT-2.3,Aug-13,,£200m,34.80%,7–15,1.5,54°38′50″N 1°05′40″W﻿ , ﻿54.64722°N 1.09444°W,54°38′50″,1°05′40″W﻿ ,54.64722222222222,-1.0944444444444443
51°26′0″N 1°38′0″E﻿ / ﻿51.43333°N 1.63333°E,300,100,Vestas V90-3.0MW,Sep-10,,£900m,32.80%,20–25,11.0,51°26′0″N 1°38′0″E﻿ , ﻿51.43333°N 1.63333°E,51°26′0″,1°38′0″E﻿ ,51.43333333333333,1.6333333333333333
53°30′00″N 0°48′0″E﻿ / ﻿53.50000°N 0.80000°E,857,90,Vestas v164-9.5 MW,March 2022[41],74.75,,,,33.0,53°30′00″N 0°48′0″E﻿ , ﻿53.50000°N 0.80000°E,53°30′00″,0°48′0″E﻿ ,53.5,0.8
54°03′00″N 3°31′00″W﻿ / ﻿54.05000°N 3.51667°W,367,102,Siemens SWP 3.6–107,Feb-10,,£630m,"40.5%, 43.8%[4]",19–30,14.0,54°03′00″N 3°31′00″W﻿ , ﻿54.05000°N 3.51667°W,54°03′00″,3°31′00″W﻿ ,54.05,-3.5166666666666666
54°5′17″N 3°44′17″W﻿ / ﻿54.08806°N 3.73806°W,659,87,"47x Siemens SWT-7.0-154, 40× MHI Vestas V164-8.25 MW",Sep-18,150.0,,,,,54°5′17″N 3°44′17″W﻿ , ﻿54.08806°N 3.73806°W,54°5′17″,3°44′17″W﻿ ,54.088055555555556,-3.7380555555555555
53°48′18″N 0°8′56″E﻿ / ﻿53.80500°N 0.14889°E,210,35,Siemens SWT-6.0–154,May-15,,£370m,42.9%[4],15,10.0,53°48′18″N 0°8′56″E﻿ , ﻿53.80500°N 0.14889°E,53°48′18″,0°8′56″E﻿ ,53.805,0.14888888888888888
53°59′00″N 3°28′00″W﻿ / ﻿53.98333°N 3.46667°W,389,108,Siemens SWP 3.6–120,Oct-14,,"£1,600m",44.2%[4],17–24,15.0,53°59′00″N 3°28′00″W﻿ , ﻿53.98333°N 3.46667°W,53°59′00″,3°28′00″W﻿ ,53.983333333333334,-3.466666666666667
