name,diet,lived_in,type,taxonomy,species,period_name,period_start,period_end,length_meters
gryposaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,notabilis,Late Cretaceous,86,71,10
guaibasaurus,herbivorous,Brazil,small theropod,Dinosauria Saurischia Theropoda,candelariensis,Late Triassic,221,210,1.8
guanlong,carnivorous,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,wucaii,Late Jurassic,159,154,3
hadrosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,foulkii,Late Cretaceous,78,74,9
hagryphus,omnivorous,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria,giganteus,9999,9999,9999,3
haplocanthosaurus,herbivorous,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,priscus,Late Jurassic,154,142,21.5
harpymimus,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,okladnikovi,Early Cretaceous,121,99,2
herrerasaurus,carnivorous,Argentina,small theropod,Dinosauria Saurischia Theropoda Herrerasauridae,ischigualastensis,Late Triassic,228,228,3
hesperosaurus,herbivorous,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,mjosi,Late Jurassic,154,142,6
heterodontosaurus,herbivorous,South Africa,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,tucki,Early Jurassic,205,205,1.2
heyuannia,omnivorous,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,yanshini,Late Cretaceous,72,68,2
homalocephale,herbivorous,Mongolia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea,calathocercos,Late Cretaceous,72,68,1.5
huayangosaurus,herbivorous,China,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Huayangosauridae,taibaii,Mid Jurassic,170,160,4.5
hylaeosaurus,herbivorous,United Kingdom,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,armatus,Early Cretaceous,150,135,5
hypacrosaurus,herbivorous,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,altispinus,Late Cretaceous,70,70,9
hypsilophodon,herbivorous,United Kingdom,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,foxii,Early Cretaceous,125,125,2.3
iguanodon,herbivorous,United Kingdom,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,bernissartensis,Early Cretaceous,140,110,10
indosuchus,carnivorous,India,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,raptorius,Late Cretaceous,71,65,7
irritator,carnivorous,Brazil,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,challengeri,Early Cretaceous,112,99,6.5
isisaurus,herbivorous,India,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,colberti,Late Cretaceous,71,65,9999
janenschia,herbivorous,Tanzania,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,robusta,Late Jurassic,154,151,20
jaxartosaurus,herbivorous,Kazakhstan,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,aralensis,Late Cretaceous,94,84,9
jingshanosaurus,herbivorous,China,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,xinwaensis,Early Jurassic,205,190,5
